#req	time (sec)	avg. time (sec)	mapping
0	12.614	0.000	OK
1	10.811	0.000	OK
2	10.799	0.000	OK
3	10.169	0.000	OK
4	15.347	0.000	OK
5	10.074	0.000	OK
6	12.608	0.000	OK
7	10.601	0.000	OK
8	16.298	0.000	OK
9	10.751	0.000	OK
10	15.288	12.275	OK
11	10.182	12.212	OK
12	12.746	12.406	OK
13	10.640	12.454	OK
14	16.246	12.543	OK
15	10.653	12.601	OK
16	16.218	12.962	OK
17	8.866	12.789	OK
18	16.440	12.803	OK
19	13.181	13.046	OK
20	10.631	12.580	OK
21	11.390	12.701	OK
22	10.749	12.501	OK
23	15.299	12.967	OK
24	10.687	12.411	OK
25	8.974	12.243	OK
26	8.901	11.512	OK
27	10.264	11.652	OK
28	10.668	11.074	OK
29	10.227	10.779	OK
30	12.624	10.978	OK
31	10.614	10.901	OK
32	12.839	11.110	OK
33	16.386	11.218	OK
34	10.159	11.166	OK
35	12.854	11.554	OK
36	8.909	11.554	OK
37	12.823	11.810	OK
38	8.860	11.630	OK
39	10.225	11.629	OK
40	18.440	12.211	OK
41	10.843	12.234	OK
42	10.209	11.971	OK
43	8.934	11.226	OK
44	10.172	11.227	OK
45	10.907	11.032	OK
46	16.484	11.790	OK
47	9.005	11.408	OK
48	10.209	11.543	OK
49	10.704	11.591	OK
50	10.833	10.830	OK
51	10.741	10.820	OK
52	12.930	11.092	OK
53	16.644	11.863	OK
54	11.075	11.953	OK
55	20.790	12.941	OK
56	13.152	12.608	OK
57	13.175	13.025	OK
58	10.943	13.099	OK
59	10.934	13.122	OK
60	9.142	12.952	OK
61	11.758	13.054	OK
62	18.695	13.631	OK
63	10.785	13.045	OK
64	11.056	13.043	OK
65	18.918	12.856	OK
66	17.201	13.261	OK
67	11.167	13.060	OK
68	13.047	13.270	OK
69	11.203	13.297	OK
70	20.044	14.387	OK
71	10.996	14.311	OK
72	12.701	13.712	OK
73	10.841	13.717	OK
74	10.766	13.688	OK
75	10.817	12.878	OK
76	8.989	12.057	OK
77	10.767	12.017	OK
78	10.903	11.803	OK
79	11.712	11.854	OK
80	11.091	10.958	OK
81	14.302	11.289	OK
82	10.498	11.069	OK
83	12.197	11.204	OK
84	16.961	11.824	OK
85	11.162	11.858	OK
86	10.486	12.008	OK
87	13.086	12.240	OK
88	13.820	12.531	OK
89	20.894	13.450	OK
90	16.797	14.020	OK
91	9.223	13.512	OK
92	11.237	13.586	OK
93	11.103	13.477	OK
94	13.024	13.083	OK
95	14.824	13.449	OK
96	23.356	14.736	OK
97	11.205	14.548	OK
98	10.379	14.204	OK
99	13.184	13.433	OK
100	13.789	13.132	OK
101	15.852	13.795	OK
102	11.056	13.777	OK
103	11.021	13.769	OK
104	13.165	13.783	OK
105	9.213	13.222	OK
106	11.088	11.995	OK
107	11.015	11.976	OK
108	16.862	12.624	OK
109	11.629	12.469	OK
110	15.179	12.608	OK
111	16.459	12.669	OK
112	9.139	12.477	OK
113	20.123	13.387	OK
114	9.311	13.002	OK
115	9.226	13.003	OK
116	11.188	13.013	OK
117	11.134	13.025	OK
118	11.269	12.466	OK
119	11.121	12.415	OK
120	13.330	12.230	OK
121	11.081	11.692	OK
122	9.251	11.704	OK
123	11.244	10.816	OK
124	16.959	11.580	OK
125	10.314	11.689	OK
126	11.119	11.682	OK
127	13.667	11.935	OK
128	13.143	12.123	OK
129	16.844	12.695	OK
130	16.823	13.045	OK
131	13.113	13.248	OK
132	11.226	13.445	OK
133	12.987	13.620	OK
134	13.161	13.240	OK
135	23.413	14.550	OK
136	10.500	14.488	OK
137	16.615	14.783	OK
138	10.480	14.516	OK
139	12.431	14.075	OK
140	11.099	13.503	OK
141	11.745	13.366	OK
142	12.994	13.543	OK
143	20.935	14.337	OK
144	11.069	14.128	OK
145	9.850	12.772	OK
146	9.199	12.642	OK
147	15.386	12.519	OK
148	19.823	13.453	OK
149	16.874	13.897	OK
150	13.759	14.164	OK
151	10.531	14.042	OK
152	14.350	14.178	OK
153	11.005	13.185	OK
154	12.413	13.319	OK
155	11.249	13.459	OK
156	11.313	13.670	OK
157	16.901	13.822	OK
158	11.252	12.965	OK
159	15.940	12.871	OK
160	12.919	12.787	OK
161	10.833	12.817	OK
162	9.251	12.308	OK
163	8.769	12.084	OK
164	26.126	13.455	OK
165	10.277	13.358	OK
166	12.721	13.499	OK
167	15.099	13.319	OK
168	16.614	13.855	OK
169	16.787	13.940	OK
170	11.834	13.831	OK
171	13.081	14.056	OK
172	13.296	14.460	OK
173	9.122	14.496	OK
174	28.946	14.778	OK
175	12.277	14.978	OK
176	16.975	15.403	OK
177	13.256	15.219	OK
178	9.285	14.486	OK
179	19.056	14.713	OK
180	16.941	15.223	OK
181	11.211	15.036	OK
182	13.248	15.032	OK
183	17.033	15.823	OK
184	17.870	14.715	OK
185	14.494	14.937	OK
186	9.248	14.164	OK
187	9.056	13.744	OK
188	10.269	13.843	OK
189	10.517	12.989	OK
190	10.476	12.342	OK
191	11.044	12.325	OK
192	10.433	12.044	OK
193	10.904	11.431	OK
194	11.073	10.751	OK
195	11.878	10.490	OK
196	10.504	10.615	OK
197	9.220	10.632	OK
198	15.152	11.120	OK
199	14.400	11.508	OK
200	29.650	13.426	OK
201	11.091	13.430	OK
202	16.300	14.017	OK
203	11.963	14.123	OK
204	10.794	14.095	OK
205	20.554	14.963	OK
206	12.698	15.182	OK
207	16.368	15.897	OK
208	11.066	15.488	OK
209	17.609	15.809	OK
210	10.426	13.887	OK
211	11.022	13.880	OK
212	17.327	13.983	OK
213	23.125	15.099	OK
214	15.942	15.614	OK
215	11.090	14.667	OK
216	21.083	15.506	OK
217	17.465	15.615	OK
218	19.043	16.413	OK
219	10.574	15.710	OK
220	13.191	15.986	OK
221	34.086	18.293	OK
222	14.538	18.014	OK
223	29.918	18.693	OK
224	11.181	18.217	OK
225	11.120	18.220	OK
226	15.066	17.618	OK
227	13.627	17.234	OK
228	21.528	17.483	OK
229	13.281	17.754	OK
230	39.123	20.347	OK
231	13.140	18.252	OK
232	13.018	18.100	OK
233	9.152	16.023	OK
234	16.829	16.588	OK
235	11.139	16.590	OK
236	13.313	16.415	OK
237	15.843	16.636	OK
238	15.064	15.990	OK
239	19.504	16.612	OK
240	10.440	13.744	OK
241	8.907	13.321	OK
242	16.902	13.709	OK
243	10.175	13.812	OK
244	16.738	13.802	OK
245	10.354	13.724	OK
246	12.862	13.679	OK
247	8.864	12.981	OK
248	10.914	12.566	OK
249	10.270	11.643	OK
250	16.360	12.235	OK
251	12.732	12.617	OK
252	12.828	12.210	OK
253	20.592	13.251	OK
254	11.419	12.720	OK
255	12.750	12.959	OK
256	10.858	12.759	OK
257	12.721	13.144	OK
258	11.598	13.213	OK
259	18.122	13.998	OK
260	9.027	13.265	OK
261	17.784	13.770	OK
262	10.774	13.565	OK
263	15.993	13.105	OK
264	10.878	13.051	OK
265	10.793	12.855	OK
266	17.482	13.517	OK
267	19.131	14.158	OK
268	13.276	14.326	OK
269	8.977	13.412	OK
270	12.877	13.797	OK
271	13.087	13.327	OK
272	10.950	13.345	OK
273	10.161	12.761	OK
274	13.992	13.073	OK
275	11.038	13.097	OK
276	20.600	13.409	OK
277	35.904	15.086	OK
278	28.812	16.640	OK
279	10.885	16.831	OK
280	22.529	17.796	OK
281	13.313	17.818	OK
282	21.418	18.865	OK
283	17.658	19.615	OK
284	19.422	20.158	OK
285	34.589	22.513	OK
286	15.280	21.981	OK
287	18.961	20.287	OK
288	18.382	19.244	OK
289	29.981	21.153	OK
290	28.809	21.781	OK
291	8.907	21.341	OK
292	11.516	20.350	OK
293	10.840	19.669	OK
294	10.321	18.759	OK
295	27.868	18.086	OK
296	31.615	19.720	OK
297	34.048	21.229	OK
298	10.737	20.464	OK
299	10.340	18.500	OK
300	35.661	19.185	OK
301	15.551	19.850	OK
302	18.291	20.527	OK
303	13.243	20.768	OK
304	17.101	21.446	OK
305	12.803	19.939	OK
306	14.936	18.271	OK
307	19.163	16.783	OK
308	18.563	17.565	OK
309	16.342	18.165	OK
310	10.714	15.671	OK
311	29.686	17.084	OK
312	27.368	17.992	OK
313	17.865	18.454	OK
314	10.900	17.834	OK
315	21.602	18.714	OK
316	15.458	18.766	OK
317	14.959	18.346	OK
318	11.857	17.675	OK
319	10.863	17.127	OK
320	14.989	17.555	OK
321	12.605	15.847	OK
322	20.599	15.170	OK
323	10.183	14.401	OK
324	10.930	14.404	OK
325	28.836	15.128	OK
326	17.471	15.329	OK
