#req	time (sec)	avg. time (sec)	mapping
0	1.671	0.000	OK
1	1.688	0.000	OK
2	1.671	0.000	OK
3	1.694	0.000	OK
4	1.695	0.000	OK
5	1.651	0.000	OK
6	1.699	0.000	OK
7	1.669	0.000	OK
8	3.458	0.000	OK
9	1.674	0.000	OK
10	1.686	1.859	OK
11	3.472	2.037	OK
12	5.271	2.397	OK
13	1.659	2.393	OK
14	1.644	2.388	OK
15	1.667	2.390	OK
16	1.650	2.385	OK
17	1.662	2.384	OK
18	3.531	2.392	OK
19	1.702	2.394	OK
20	1.721	2.398	OK
21	1.773	2.228	OK
22	1.711	1.872	OK
23	3.498	2.056	OK
24	1.646	2.056	OK
25	1.685	2.058	OK
26	1.671	2.060	OK
27	1.689	2.063	OK
28	1.677	1.877	OK
29	1.689	1.876	OK
30	3.435	2.047	OK
31	1.640	2.034	OK
32	3.478	2.211	OK
33	1.742	2.035	OK
34	3.465	2.217	OK
35	3.484	2.397	OK
36	1.681	2.398	OK
37	1.708	2.400	OK
38	1.651	2.397	OK
39	1.696	2.398	OK
40	3.497	2.404	OK
41	1.688	2.409	OK
42	3.480	2.409	OK
43	1.670	2.402	OK
44	1.658	2.221	OK
45	3.487	2.222	OK
46	1.687	2.222	OK
47	1.674	2.219	OK
48	3.496	2.403	OK
49	1.669	2.401	OK
50	1.666	2.218	OK
51	3.461	2.395	OK
52	1.705	2.217	OK
53	1.662	2.216	OK
54	1.708	2.222	OK
55	1.747	2.047	OK
56	3.611	2.240	OK
57	1.742	2.247	OK
58	1.673	2.064	OK
59	1.666	2.064	OK
60	1.653	2.063	OK
61	1.732	1.890	OK
62	1.727	1.892	OK
63	1.668	1.893	OK
64	1.676	1.890	OK
65	1.780	1.893	OK
66	1.819	1.714	OK
67	1.737	1.713	OK
68	1.778	1.724	OK
69	1.741	1.731	OK
70	1.761	1.742	OK
71	3.605	1.929	OK
72	3.643	2.121	OK
73	3.605	2.315	OK
74	1.740	2.321	OK
75	1.771	2.320	OK
76	1.719	2.310	OK
77	1.751	2.311	OK
78	1.746	2.308	OK
79	1.758	2.310	OK
80	1.787	2.312	OK
81	1.880	2.140	OK
82	3.608	2.136	OK
83	1.723	1.948	OK
84	3.656	2.140	OK
85	3.605	2.323	OK
86	1.968	2.348	OK
87	1.750	2.348	OK
88	3.697	2.543	OK
89	3.638	2.731	OK
90	1.699	2.722	OK
91	1.723	2.707	OK
92	1.751	2.521	OK
93	1.738	2.523	OK
94	1.808	2.338	OK
95	1.748	2.152	OK
96	3.965	2.352	OK
97	1.782	2.355	OK
98	1.781	2.163	OK
99	1.791	1.979	OK
100	1.759	1.984	OK
101	1.734	1.986	OK
102	1.723	1.983	OK
103	1.733	1.982	OK
104	3.629	2.164	OK
105	1.736	2.163	OK
106	1.737	1.940	OK
107	1.720	1.934	OK
108	1.751	1.931	OK
109	1.746	1.927	OK
110	1.904	1.941	OK
111	1.766	1.945	OK
112	1.718	1.944	OK
113	1.783	1.949	OK
114	1.741	1.760	OK
115	1.744	1.761	OK
116	1.748	1.762	OK
117	1.757	1.766	OK
118	1.780	1.769	OK
119	1.756	1.770	OK
120	1.785	1.758	OK
121	1.756	1.757	OK
122	1.742	1.759	OK
123	1.739	1.755	OK
124	3.614	1.942	OK
125	1.754	1.943	OK
126	1.745	1.943	OK
127	1.726	1.940	OK
128	1.733	1.935	OK
129	1.695	1.929	OK
130	2.070	1.958	OK
131	1.781	1.960	OK
132	3.608	2.147	OK
133	3.572	2.330	OK
134	1.786	2.147	OK
135	1.873	2.159	OK
136	3.627	2.347	OK
