#req	time (sec)	avg. time (sec)	mapping
0	10.522	0.000	OK
1	9.561	0.000	OK
2	8.501	0.000	OK
3	8.418	0.000	OK
4	7.341	0.000	OK
5	8.237	0.000	OK
6	8.481	0.000	OK
7	7.727	0.000	OK
8	10.169	0.000	OK
9	9.129	0.000	OK
10	7.184	8.475	OK
11	8.433	8.362	OK
12	11.215	8.633	OK
13	8.194	8.611	OK
14	7.107	8.588	OK
15	10.107	8.775	OK
16	7.049	8.631	OK
17	8.353	8.694	OK
18	8.905	8.568	OK
19	7.591	8.414	OK
20	7.265	8.422	OK
21	14.642	9.043	OK
22	10.605	8.982	OK
23	10.097	9.172	OK
24	10.317	9.493	OK
25	8.775	9.360	OK
26	9.058	9.561	OK
27	8.823	9.608	OK
28	8.700	9.587	OK
29	8.439	9.672	OK
30	8.872	9.833	OK
31	9.592	9.328	OK
32	10.048	9.272	OK
33	7.871	9.049	OK
34	9.414	8.959	OK
35	9.647	9.046	OK
36	6.856	8.826	OK
37	12.097	9.154	OK
38	8.712	9.155	OK
39	10.635	9.374	OK
40	16.969	10.184	OK
41	9.956	10.220	OK
42	10.552	10.271	OK
43	8.783	10.362	OK
44	9.105	10.331	OK
45	7.510	10.118	OK
46	9.120	10.344	OK
47	8.819	10.016	OK
48	9.771	10.122	OK
49	10.355	10.094	OK
50	10.006	9.398	OK
51	7.653	9.168	OK
52	8.974	9.010	OK
53	15.507	9.682	OK
54	10.750	9.847	OK
55	13.757	10.471	OK
56	10.035	10.563	OK
57	10.435	10.724	OK
58	9.268	10.674	OK
59	9.213	10.560	OK
60	6.699	10.229	OK
61	15.460	11.010	OK
62	7.111	10.823	OK
63	8.706	10.143	OK
64	10.675	10.136	OK
65	2.695	9.030	OK
66	13.761	9.402	OK
67	9.182	9.277	OK
68	10.531	9.403	OK
69	8.116	9.294	OK
70	8.396	9.463	OK
71	7.944	8.712	OK
72	11.432	9.144	OK
73	10.224	9.295	OK
74	9.885	9.217	OK
75	9.595	9.907	OK
76	8.203	9.351	OK
77	10.195	9.452	OK
78	10.628	9.462	OK
79	9.853	9.635	OK
80	9.815	9.777	OK
81	2.854	9.268	OK
82	8.619	8.987	OK
83	9.896	8.954	OK
84	9.903	8.956	OK
85	8.332	8.830	OK
86	15.040	9.514	OK
87	9.667	9.461	OK
88	18.732	10.271	OK
89	17.341	11.020	OK
90	10.193	11.058	OK
91	9.057	11.678	OK
92	7.887	11.605	OK
93	9.564	11.572	OK
94	8.382	11.420	OK
95	7.933	11.380	OK
96	8.528	10.728	OK
97	10.957	10.857	OK
98	12.038	10.188	OK
99	9.024	9.356	OK
100	7.980	9.135	OK
101	10.364	9.266	OK
102	9.494	9.426	OK
103	7.987	9.269	OK
104	10.508	9.481	OK
105	7.964	9.484	OK
106	9.401	9.572	OK
107	9.571	9.433	OK
108	7.502	8.980	OK
109	14.604	9.538	OK
110	19.318	10.671	OK
111	11.497	10.785	OK
112	7.543	10.589	OK
113	11.817	10.972	OK
114	7.053	10.627	OK
115	7.660	10.597	OK
116	10.867	10.743	OK
117	10.893	10.875	OK
118	9.924	11.118	OK
119	7.528	10.410	OK
120	9.426	9.421	OK
121	2.554	8.527	OK
122	8.741	8.646	OK
123	9.170	8.382	OK
124	8.973	8.574	OK
125	11.971	9.005	OK
126	9.808	8.899	OK
127	6.644	8.474	OK
128	11.878	8.669	OK
129	10.754	8.992	OK
130	8.323	8.882	OK
131	11.152	9.741	OK
132	10.692	9.937	OK
133	8.727	9.892	OK
134	9.019	9.897	OK
135	9.287	9.628	OK
136	8.562	9.504	OK
137	15.269	10.366	OK
138	7.845	9.963	OK
139	14.151	10.303	OK
140	10.596	10.530	OK
141	13.817	10.797	OK
142	11.228	10.850	OK
143	12.444	11.222	OK
144	10.837	11.403	OK
145	14.065	11.881	OK
146	7.370	11.762	OK
147	10.557	11.291	OK
148	14.417	11.948	OK
149	7.413	11.274	OK
150	8.163	11.031	OK
151	8.607	10.510	OK
152	18.720	11.259	OK
153	9.161	10.931	OK
154	13.861	11.234	OK
155	7.614	10.588	OK
156	11.102	10.962	OK
157	9.004	10.806	OK
158	8.369	10.202	OK
159	9.518	10.412	OK
160	9.048	10.501	OK
161	10.174	10.657	OK
162	9.567	9.742	OK
163	9.540	9.780	OK
164	2.841	8.678	OK
165	8.358	8.752	OK
166	9.506	8.593	OK
167	8.202	8.512	OK
168	8.837	8.559	OK
169	10.323	8.640	OK
170	12.013	8.936	OK
171	12.299	9.149	OK
172	7.922	8.984	OK
173	8.664	8.897	OK
174	13.018	9.914	OK
175	13.809	10.459	OK
176	10.657	10.575	OK
177	8.858	10.640	OK
178	7.169	10.473	OK
179	9.429	10.384	OK
180	10.896	10.272	OK
181	9.753	10.017	OK
182	9.436	10.169	OK
183	9.027	10.205	OK
184	7.434	9.647	OK
185	9.731	9.239	OK
186	7.454	8.919	OK
187	7.824	8.815	OK
188	9.751	9.073	OK
189	7.481	8.879	OK
190	13.207	9.110	OK
191	8.005	8.935	OK
192	8.626	8.854	OK
193	8.671	8.818	OK
194	9.458	9.021	OK
195	10.419	9.089	OK
196	10.151	9.359	OK
197	8.651	9.442	OK
198	16.372	10.104	OK
199	15.124	10.868	OK
200	12.835	10.831	OK
201	10.362	11.067	OK
202	13.638	11.568	OK
203	11.516	11.853	OK
204	8.610	11.768	OK
205	19.907	12.717	OK
206	9.486	12.650	OK
207	10.316	12.817	OK
208	9.739	12.153	OK
209	12.824	11.923	OK
210	10.555	11.695	OK
211	7.658	11.425	OK
212	14.301	11.491	OK
213	16.528	11.992	OK
214	9.315	12.063	OK
215	9.493	11.022	OK
216	9.101	10.983	OK
217	12.322	11.184	OK
218	18.453	12.055	OK
219	11.123	11.885	OK
220	11.615	11.991	OK
221	7.826	12.008	OK
222	16.301	12.208	OK
223	13.262	11.881	OK
224	8.241	11.774	OK
225	16.966	12.521	OK
226	14.037	13.015	OK
227	18.669	13.649	OK
228	2.718	12.076	OK
229	10.819	12.045	OK
230	21.199	13.004	OK
231	10.759	13.297	OK
232	10.947	12.762	OK
233	8.271	12.263	OK
234	7.395	12.178	OK
235	12.299	11.711	OK
236	12.869	11.594	OK
237	10.260	10.754	OK
238	15.892	12.071	OK
239	10.147	12.004	OK
240	9.945	10.878	OK
241	7.248	10.527	OK
242	17.056	11.138	OK
243	9.727	11.284	OK
244	17.995	12.344	OK
245	9.975	12.111	OK
246	12.521	12.077	OK
247	9.549	12.006	OK
248	11.158	11.532	OK
249	11.028	11.620	OK
250	10.383	11.664	OK
251	9.445	11.884	OK
252	10.598	11.238	OK
253	8.247	11.090	OK
254	13.252	10.616	OK
255	12.055	10.824	OK
256	10.020	10.573	OK
257	9.336	10.552	OK
258	20.396	11.476	OK
259	13.650	11.738	OK
260	8.503	11.550	OK
261	15.805	12.186	OK
262	2.595	11.386	OK
263	16.589	12.220	OK
264	8.085	11.703	OK
265	8.543	11.352	OK
266	11.594	11.509	OK
267	19.086	12.484	OK
268	9.234	11.368	OK
269	7.014	10.705	OK
270	11.180	10.972	OK
271	14.863	10.878	OK
272	10.135	11.632	OK
273	9.776	10.951	OK
274	11.385	11.281	OK
275	11.212	11.548	OK
276	15.477	11.936	OK
277	10.269	11.054	OK
278	14.834	11.614	OK
279	9.260	11.839	OK
280	13.541	12.075	OK
281	7.965	11.385	OK
282	19.829	12.355	OK
283	12.656	12.643	OK
284	14.716	12.976	OK
285	21.175	13.972	OK
286	2.582	12.683	OK
287	17.178	13.374	OK
288	20.841	13.974	OK
289	2.751	13.323	OK
290	10.933	13.063	OK
291	8.646	13.131	OK
292	10.332	12.181	OK
293	7.645	11.680	OK
294	10.621	11.270	OK
295	13.404	10.493	OK
296	16.551	11.890	OK
297	8.678	11.040	OK
298	9.916	9.948	OK
299	10.647	10.737	OK
300	10.803	10.724	OK
301	9.401	10.800	OK
302	16.332	11.400	OK
303	6.706	11.306	OK
304	2.672	10.511	OK
305	9.234	10.094	OK
306	7.017	9.141	OK
307	12.546	9.527	OK
308	14.703	10.006	OK
309	8.712	9.813	OK
310	7.707	9.503	OK
311	9.427	9.506	OK
312	11.884	9.061	OK
313	14.585	9.849	OK
314	7.479	10.329	OK
315	2.775	9.683	OK
316	10.211	10.003	OK
317	8.248	9.573	OK
318	8.784	8.981	OK
319	14.328	9.543	OK
320	15.412	10.313	OK
321	12.999	10.670	OK
322	7.134	10.195	OK
323	8.342	9.571	OK
324	7.895	9.613	OK
325	12.834	10.619	OK
326	7.730	10.371	OK
327	8.418	10.388	OK
328	7.236	10.233	OK
329	7.307	9.531	OK
330	17.213	9.711	OK
331	10.047	9.416	OK
332	9.419	9.644	OK
333	9.175	9.728	OK
334	8.647	9.803	OK
335	9.045	9.424	OK
336	10.750	9.726	OK
337	10.082	9.892	OK
338	10.057	10.174	OK
339	10.146	10.458	OK
340	13.631	10.100	OK
341	2.650	9.360	OK
342	16.184	10.037	OK
343	11.700	10.289	OK
344	8.864	10.311	OK
345	7.352	10.142	OK
346	17.746	10.841	OK
347	8.427	10.676	OK
348	12.839	10.954	OK
349	15.317	11.471	OK
350	17.868	11.895	OK
351	10.427	12.672	OK
352	13.632	12.417	OK
353	8.238	12.071	OK
354	15.675	12.752	OK
355	9.208	12.938	OK
356	8.243	11.987	OK
357	8.591	12.004	OK
358	14.753	12.195	OK
359	15.137	12.177	OK
360	16.646	12.055	OK
361	12.005	12.213	OK
362	20.335	12.883	OK
363	10.694	13.129	OK
364	6.583	12.220	OK
365	12.667	12.566	OK
366	11.280	12.869	OK
367	8.027	12.813	OK
368	10.529	12.390	OK
369	10.302	11.907	OK
370	10.687	11.311	OK
