#req	time (sec)	avg. time (sec)	mapping
0	0.544	0.000	ERR
1	0.290	0.000	ERR
2	0.834	0.000	ERR
3	0.588	0.000	ERR
4	0.453	0.000	ERR
5	0.413	0.000	ERR
6	0.719	0.000	ERR
7	0.708	0.000	ERR
8	0.291	0.000	ERR
9	0.407	0.000	ERR
10	0.571	0.528	ERR
11	0.551	0.554	ERR
12	0.698	0.540	ERR
13	1.708	0.652	OK
14	1.856	0.792	OK
15	0.429	0.794	ERR
16	0.442	0.766	ERR
17	0.720	0.767	ERR
18	0.714	0.810	ERR
19	0.425	0.811	ERR
20	0.570	0.811	ERR
21	0.704	0.827	ERR
22	0.410	0.798	ERR
23	0.575	0.685	ERR
24	0.845	0.583	ERR
25	0.877	0.628	ERR
26	0.891	0.673	ERR
27	0.567	0.658	ERR
28	0.548	0.641	ERR
29	0.551	0.654	ERR
30	0.563	0.653	ERR
31	0.409	0.624	ERR
32	0.562	0.639	ERR
33	0.560	0.637	ERR
34	0.571	0.610	ERR
35	0.735	0.596	ERR
36	1.839	0.690	OK
37	0.728	0.707	ERR
38	0.398	0.692	ERR
39	0.561	0.693	ERR
40	0.294	0.666	ERR
41	0.872	0.712	ERR
42	0.569	0.713	ERR
43	0.428	0.700	ERR
44	0.700	0.712	ERR
45	0.313	0.670	ERR
46	0.309	0.517	ERR
47	1.789	0.623	OK
48	0.552	0.639	ERR
49	0.720	0.655	ERR
50	0.289	0.654	ERR
51	0.692	0.636	ERR
52	0.567	0.636	ERR
53	0.729	0.666	ERR
54	0.555	0.652	ERR
55	0.714	0.692	ERR
56	0.555	0.716	ERR
57	0.293	0.567	ERR
58	0.453	0.557	ERR
59	0.414	0.526	ERR
60	0.694	0.567	ERR
61	0.406	0.538	ERR
62	0.723	0.554	ERR
63	0.406	0.521	ERR
64	0.431	0.509	ERR
65	0.554	0.493	ERR
66	1.909	0.628	OK
67	0.723	0.671	ERR
68	0.727	0.699	ERR
69	0.433	0.701	ERR
70	0.574	0.689	ERR
71	0.912	0.739	ERR
72	0.554	0.722	ERR
73	0.309	0.713	ERR
74	0.556	0.725	ERR
75	0.884	0.758	ERR
76	0.722	0.639	ERR
77	1.835	0.751	OK
78	0.569	0.735	ERR
79	0.414	0.733	ERR
80	0.726	0.748	ERR
81	0.558	0.713	ERR
82	0.434	0.701	ERR
83	0.432	0.713	ERR
84	0.575	0.715	ERR
85	0.707	0.697	ERR
86	0.297	0.655	ERR
87	0.294	0.501	ERR
88	0.862	0.530	ERR
89	0.413	0.530	ERR
90	0.690	0.526	ERR
91	0.412	0.512	ERR
92	0.555	0.524	ERR
93	0.295	0.510	ERR
94	0.308	0.483	ERR
95	0.858	0.498	ERR
96	0.279	0.497	ERR
97	0.717	0.539	ERR
98	0.413	0.494	ERR
99	0.413	0.494	ERR
100	0.882	0.513	ERR
101	0.414	0.513	ERR
102	0.297	0.488	ERR
103	0.863	0.545	ERR
104	0.575	0.571	ERR
105	0.561	0.541	ERR
106	0.561	0.570	ERR
107	0.295	0.527	ERR
108	0.565	0.543	ERR
109	0.451	0.546	ERR
110	0.561	0.514	ERR
111	0.294	0.502	ERR
112	0.560	0.528	ERR
113	0.866	0.529	ERR
114	1.830	0.654	OK
115	0.553	0.653	ERR
116	0.444	0.642	ERR
117	0.410	0.653	ERR
118	0.411	0.638	ERR
119	0.459	0.639	ERR
120	0.585	0.641	ERR
121	0.732	0.685	ERR
122	0.411	0.670	ERR
123	0.723	0.656	ERR
124	0.758	0.549	ERR
125	0.884	0.582	ERR
126	1.834	0.721	OK
127	1.912	0.871	OK
128	0.717	0.901	ERR
129	0.860	0.942	ERR
130	0.568	0.940	ERR
131	0.891	0.956	ERR
132	0.414	0.956	ERR
133	0.401	0.924	ERR
134	0.450	0.893	ERR
135	0.855	0.890	ERR
136	0.313	0.738	ERR
137	0.433	0.590	ERR
138	0.410	0.559	ERR
139	0.852	0.559	ERR
140	0.862	0.588	ERR
141	0.580	0.557	ERR
142	0.575	0.573	ERR
143	0.413	0.574	ERR
144	0.294	0.559	ERR
145	0.411	0.514	ERR
146	0.858	0.569	ERR
147	0.882	0.614	ERR
148	0.278	0.601	ERR
149	0.412	0.557	ERR
150	0.719	0.542	ERR
151	0.564	0.541	ERR
152	0.556	0.539	ERR
153	0.838	0.581	ERR
154	0.411	0.593	ERR
155	0.436	0.595	ERR
156	0.729	0.582	ERR
157	0.294	0.524	ERR
158	0.422	0.538	ERR
159	0.723	0.569	ERR
160	0.718	0.569	ERR
161	0.727	0.585	ERR
162	0.722	0.602	ERR
163	0.703	0.588	ERR
164	0.740	0.621	ERR
165	0.576	0.635	ERR
166	0.731	0.636	ERR
167	1.825	0.789	OK
168	0.287	0.775	ERR
169	0.701	0.773	ERR
170	0.732	0.774	ERR
171	0.580	0.760	ERR
172	1.783	0.866	OK
173	0.431	0.839	ERR
174	0.565	0.821	ERR
175	0.293	0.793	ERR
176	0.413	0.761	ERR
177	0.564	0.635	ERR
178	0.296	0.636	ERR
179	0.576	0.623	ERR
180	0.439	0.594	ERR
181	0.556	0.592	ERR
182	0.859	0.499	ERR
183	0.736	0.530	ERR
184	0.590	0.532	ERR
185	0.854	0.588	ERR
186	0.861	0.633	ERR
187	0.569	0.634	ERR
188	0.295	0.634	ERR
189	1.766	0.753	OK
190	0.413	0.750	ERR
191	1.831	0.878	OK
192	0.412	0.833	ERR
193	0.305	0.790	ERR
194	0.415	0.772	ERR
195	0.412	0.728	ERR
196	0.578	0.700	ERR
197	0.428	0.686	ERR
198	0.286	0.685	ERR
199	0.410	0.549	ERR
200	0.842	0.592	ERR
201	0.601	0.469	ERR
202	0.852	0.513	ERR
203	0.431	0.526	ERR
204	0.731	0.557	ERR
205	0.564	0.572	ERR
206	0.744	0.589	ERR
207	0.885	0.635	ERR
208	0.427	0.649	ERR
209	0.579	0.666	ERR
210	0.442	0.626	ERR
211	0.587	0.624	ERR
212	0.628	0.602	ERR
213	0.567	0.615	ERR
214	0.603	0.603	ERR
215	0.574	0.604	ERR
216	0.768	0.606	ERR
217	0.578	0.575	ERR
218	0.911	0.624	ERR
219	0.304	0.596	ERR
220	0.446	0.597	ERR
221	0.415	0.579	ERR
222	0.414	0.558	ERR
223	0.883	0.590	ERR
224	0.560	0.585	ERR
225	0.877	0.616	ERR
226	1.887	0.728	OK
227	0.413	0.711	ERR
228	0.554	0.676	ERR
229	0.411	0.686	ERR
230	0.748	0.716	ERR
231	0.709	0.746	ERR
232	0.711	0.776	ERR
233	1.843	0.872	OK
234	1.849	1.000	OK
