#req	time (sec)	avg. time (sec)	mapping
0	0.019	0.000	ERR
1	0.691	0.000	OK
2	1.390	0.000	OK
3	0.019	0.000	ERR
4	10.274	0.000	OK
5	2.175	0.000	OK
6	8.733	0.000	OK
7	5.556	0.000	OK
8	0.025	0.000	ERR
9	0.025	0.000	ERR
10	0.019	2.891	ERR
11	9.485	3.770	OK
12	4.296	4.061	OK
13	0.021	4.061	ERR
14	0.715	3.105	ERR
15	1.936	3.081	OK
16	7.523	2.960	OK
17	0.027	2.407	ERR
18	3.073	2.712	OK
19	0.480	2.758	ERR
20	3.108	3.066	OK
21	0.026	2.120	ERR
22	2.099	1.901	OK
23	0.016	1.900	ERR
24	12.063	3.035	OK
25	17.582	4.600	OK
26	0.021	3.849	ERR
27	0.013	3.848	ERR
28	0.020	3.543	ERR
29	4.943	3.989	OK
30	0.025	3.681	ERR
31	3.935	4.072	OK
32	1.575	4.019	OK
33	2.620	4.280	OK
34	6.732	3.747	OK
35	10.786	3.067	OK
36	8.435	3.908	OK
37	5.063	4.413	OK
38	0.015	4.413	ERR
39	5.783	4.497	OK
40	0.024	4.497	ERR
41	2.164	4.320	OK
42	2.114	4.374	OK
43	0.017	4.113	ERR
44	0.016	3.442	ERR
45	0.016	2.365	ERR
46	4.576	1.979	OK
47	0.017	1.474	ERR
48	0.016	1.474	ERR
49	0.016	0.898	ERR
50	1.687	1.064	OK
51	0.032	0.851	ERR
52	4.935	1.133	OK
53	0.024	1.133	ERR
54	5.097	1.642	OK
55	0.017	1.642	ERR
56	1.100	1.294	OK
57	0.022	1.295	ERR
58	0.024	1.295	ERR
59	0.032	1.297	ERR
60	2.985	1.427	OK
61	0.020	1.426	ERR
62	4.455	1.378	OK
63	0.017	1.377	ERR
64	5.872	1.454	OK
65	9.661	2.419	OK
66	6.146	2.923	OK
67	0.015	2.923	ERR
68	0.026	2.923	ERR
69	0.016	2.921	ERR
70	0.022	2.625	ERR
71	0.013	2.624	ERR
72	3.136	2.492	OK
73	0.026	2.493	ERR
74	0.017	1.908	ERR
75	0.032	0.945	ERR
76	9.467	1.277	OK
77	1.857	1.461	OK
78	0.021	1.461	ERR
79	0.025	1.461	ERR
80	0.016	1.461	ERR
81	0.015	1.461	ERR
82	0.016	1.149	ERR
83	3.780	1.524	OK
84	3.767	1.900	OK
85	3.479	2.244	OK
86	3.842	1.682	OK
87	0.017	1.498	ERR
88	0.019	1.498	ERR
89	0.022	1.497	ERR
90	1.864	1.682	OK
91	0.016	1.682	ERR
92	0.019	1.682	ERR
93	5.005	1.805	OK
94	0.019	1.430	ERR
95	0.026	1.085	ERR
96	3.647	1.065	OK
97	5.054	1.569	OK
98	0.022	1.569	ERR
99	9.168	2.484	OK
100	0.016	2.299	ERR
101	0.019	2.299	ERR
102	0.019	2.299	ERR
103	0.015	1.801	ERR
104	7.159	2.514	OK
105	3.783	2.890	OK
106	8.555	3.381	OK
107	12.872	4.163	OK
108	0.032	4.164	ERR
109	0.021	3.249	ERR
110	0.022	3.250	ERR
111	5.492	3.797	OK
112	0.032	3.798	ERR
113	3.363	4.133	OK
114	1.431	3.560	OK
115	0.019	3.184	ERR
116	9.772	3.305	OK
117	0.027	2.021	ERR
118	8.729	2.891	OK
119	6.169	3.506	OK
120	0.013	3.505	ERR
121	0.022	2.958	ERR
122	7.093	3.664	OK
123	0.021	3.330	ERR
124	0.019	3.188	ERR
125	0.032	3.190	ERR
126	0.022	2.215	ERR
127	0.024	2.214	ERR
128	6.748	2.016	OK
129	11.252	2.525	OK
130	0.010	2.524	ERR
131	0.032	2.525	ERR
132	8.136	2.630	OK
133	0.018	2.629	ERR
134	17.277	4.355	OK
135	0.016	4.354	ERR
136	2.297	4.581	OK
137	5.993	5.178	OK
138	0.019	4.505	ERR
139	5.390	3.919	OK
140	0.015	3.919	ERR
141	8.707	4.787	OK
142	0.017	3.975	ERR
143	2.705	4.244	OK
144	0.024	2.518	ERR
145	0.031	2.520	ERR
146	3.995	2.690	OK
147	4.015	2.492	OK
148	0.022	2.492	ERR
149	0.027	1.956	ERR
150	0.031	1.958	ERR
151	0.032	1.090	ERR
152	0.026	1.091	ERR
153	2.308	1.051	OK
154	0.019	1.051	ERR
155	4.338	1.481	OK
156	0.017	1.083	ERR
157	0.019	0.684	ERR
158	0.027	0.684	ERR
159	0.653	0.747	ERR
160	0.022	0.746	ERR
161	11.701	1.913	OK
162	0.027	1.913	ERR
163	0.019	1.684	ERR
164	0.032	1.686	ERR
165	5.334	1.785	OK
166	3.953	2.179	OK
167	0.010	2.178	ERR
168	3.461	2.521	OK
169	5.262	2.982	OK
170	0.019	2.982	ERR
171	1.803	1.992	OK
172	0.022	1.991	ERR
173	0.016	1.991	ERR
174	0.018	1.990	ERR
175	0.017	1.458	ERR
176	7.000	1.763	OK
177	0.016	1.763	ERR
178	0.018	1.419	ERR
179	0.020	0.895	ERR
180	0.027	0.896	ERR
181	0.016	0.717	ERR
182	6.023	1.317	OK
183	0.016	1.317	ERR
184	0.021	1.317	ERR
185	6.049	1.921	OK
186	1.254	1.346	OK
187	0.013	1.346	ERR
188	0.024	1.346	ERR
189	0.019	1.346	ERR
190	0.012	1.345	ERR
